merchant_id,name
M045246,"PT. Sribu Digital Kreatif"
M045249,VOYEJ
M045258,"newBORN BabyShop"
M045252,"JD payment"
M045243,"Pura Vida"
M045267,"SUPER SPRING GPS"
M028483,"mandiri e-cash"
M045264,"Celebes Computer"
M045213,Mazuki
M045075,"Halo Robotics"
M045276,"Anandamaya Fest"
M045279,"Pop by Paraplou"
M045282,dsvnshop
M045285,"JD payment"
M045288,Zataru
M044886,zendigitalsolution
M045261,shopatvelvet
M045255,Bosbis
M045273,KREATE
M045225,"Elazaro Media"
M045291,"Friso (PT. Acommerce Solusi Lestari)"
M045297,Ansyori
M045300,Nego123
M045306,"Healthy Indonesia"
M045312,Bukalapak.com
M045318,"PAC CASSADUA"
M045320,Seekmi
M045322,etobee
M045324,Qeepo
M045326,Qlapa
M045222,travelicious
M045330,RoomToday
M045332,"PAC CASSADUA HOTEL"
M045336,"Hut Expert"
M045183,"NAMIN PAC"
M045180,"FAMILY PAC"
M045132,"Dicoding Indonesia"
M045338,ESGOTADO
M044562,Featours
M045342,"PAC RH BANJARBARU"
M045309,"Luna Habit"
M045348,BFIT
M045345,"PT Yukbisnis Indonesia"
M045357,"My Ultimate Clone"
M045360,"Be Proud of Indonesia"
M045363,"CV. Inti Sumatera Global"
M045366,"Saver Online"
M045372,"House of Smith"
M045375,Oshop
M045378,Bebenito
M045381,"PT. Klickers"
M045384,WISHBOYKE.COM
M045387,"Astalift Indonesia"
M006621,"Indonesia Stock Shot"
M045393,"Gorry Gourmet"
M045396,sandalfactorybali
M045399,Trashsure
M045402,"ISPACS 2015"
M045405,"DUNIA TIKET GLOBAL SOLUSINDO"
M045411,"PT. PERSADA DUTA BELITON"
M045417,Bookmyshow
M045420,Ilicraft.com
M045426,1001malam
M045429,"Simply Fit"
M045432,"Ethnicraft Indonesia"
M045435,"Brain Onlinestore"
M045438,"Widya Kitchen"
M045441,"Fisheries Eco Villa"
M045444,Belsbee
M045447,Perdanababys
M045450,"Imbuh Villa Karangasem Bali"
M045453,"RJBooks Dev"
M045456,"PARADISO TOUR"
M045459,"Eaton Bakery & Restaurant"
M045462,"PT. Berlian Madani Wisata"
M045465,"RST Commerce"
M045468,"Another Store"
M045474,"uma di taman"
M045423,"WMN Woman"
M045477,Callista
M045480,"Australia Local Supply"
M045489,"Barberbros Jakarta"
M045492,"Junkiee Shoes"
M045486,"Little Hannah Shop"
M045495,"PROKLAMASI "
M045498,"Kumpul Coworking Space"
M045501,"Advance -Estore"
M045504,WeCare.ID
M045507,"PAC LOTUS SUBANG"
M045057,"Eclipse 7 Shoes"
M045510,"Jogja Tour"
M045513,"Warm Heart Organics"
M045528,"Liga Arloji"
M045537,"URBAN FOLKS"
M045534,"POLKA BEAUTY"
M045522,sheo
M045531,Interact
M008098,"PesonaEdu Store"
M045540,FLASHY
M045543,hellosora
M045546,BOITE
M045549,tohoplaza.co.id
M045552,CBTP
M045555,Tempro
M045558,Aanandha
M045561,iMart89
M045570,"Toko Alat Pancing"
M045573,"all Prim up"
M045576,"PT Easy Touch Group"
M045579,Diaspot.com
A100000000000001000460,mfajar
M000870,"Kicau Kecil"
M001512,"Zippo Indonesia"
M001628,Berrykitchen.com
M001711,Kumbaya
M002106,Resthy.com
M003264,"Saptatours 24 Hours"
M003313,BagusBun.com
M003409,"nayoo football"
M003764,"Alron Hotel"
M004118,"The Bath Box"
M004123,"tester tester"
M004233,"Moviebay MNC Group"
M004275,"watch studio"
M004441,"MNC SkyVision"
M004470,"CALLA Atelier"
M004478,"Amelia Devina"
M004521,Sepetak
M004599,Menica
M004600,20FIT
M004610,AUTOMOTIVESPARTSSHOP
M004640,"Happy Kado"
M004700,TWL
M004829,FORSEAA
M004916,vasttrack
M004927,"Jeger Taksi"
M020060,HostingBagus
M020131,"Svperbia Store"
M020157,"Jual Mesin Cutting Sticker"
M020165,Goers
M020195,"PT. Bhinneka Sangkuriang Transport"
M020204,ONStore
M020254,"Dive Damai"
M020390,"Andre Valentino"
M020428,OWLLAA.COM
M020461,"Helping Bee"
M020501,"PT Hira Rajawali Infomedia"
M020509,"Villa Bugis"
M020520,Tiketpesawatnya
M020543,"PT Nuansa Ceria Pesona"
M020573,"Lummova Variasi"
M020588,"Pikiran Rakyat"
M020598,"PT Pomelo Busana Indonesia"
M020615,"Indorasa Kopi"
M020716,"Smart Ride"
M020740,Maimai
M020769,Liesl
M020771,"Eddie Lau Method Product"
M020801,Kedirimart
M020810,heritageid
M020849,"Aceh PO"
M020892,"Bixbox Development"
M020898,"PT. Artha Garwa Etcetera"
M020900,OLX
M020933,ladylucetta
M021062,sabbatha
M021064,"PT Naya Indo Nusa"
M021072,kosmetikamu
M021134,"Go Optic"
M021157,"GORJES Indonesia"
M021181,"Brand Outlet"
M021207,"Desain Grafis Indonesia"
M021249,"HEYBORD ID"
M024465,Odioli
M024473,"Aki No Sora"
M024516,"PAC COTTAGE DAARUL JANNAH"
M027325,"KARUNIA TRAVEL"
M027327,garry-larry.com
M045600,combat.co.id
M045603,"Claud n Hends"
M045639,"Fashion Folks "
M045642,"Kuppu Batik & Tenun"
M045768,"Tiara Food"
M045807,"Zest Hotel Airport Jakarta"
M045846,kim.
M028327,"ABC Tour Bali"
M021025,anggrek-liar.com
M045918,Kavaleri.com
M045927,Dealjava
M045945,AMPHAL
M021033,calypso.co.id
M045969,"Star Theater"
M045972,"Pink Swan"
M046041,Guurle
M046056,"Arjuna Elektronik"
M046113,"Digital Zone"
M046194,"Sweet Escape"
M046230,DealParfum.com
M046446,"Indonesia Food Advisor (Ayam Taliwang)"
M046473,ebook
M046485,"Harisha Optical"
M046518,"The Beauty House Indo"
M046533,"PT. Buccheri Indonesia"
M046614,thelazpiz
M046629,Lakoka
M046692,"Training Mask Indonesia"
M046698,Onlinecourse
M020744,BUSTIKET.COM
M046776,"Cipika Play"
M046791,"Zinc Trail Run"
A100000000000001005937,Ehotel
M046815,"Watch Collectors"
M046833,HepiHepi
M046848,"PT Gloria Usaha Mulia"
M046926,Rotaryanaonlinestore
M046986,"Lintas media telekomunikasi"
M047001,pyoe
M047097,"PAC TRAVELLO"
M047100,"PAC TEBU HOTEL"
M047229,"MSi Tour & travel"
