id,decision,friendly_name,aasm_state,identifier,override,approved_at
55405,deny,Customer phone is restricted,approved,CB0021522,1,2015-08-05 04:30:18
55407,deny,Customer phone is restricted,approved,CB0021523,1,2015-08-05 04:30:26
55409,deny,Email address is restricted,approved,CB0021523,1,2015-08-05 04:30:29
55411,deny,Customer phone is restricted,approved,CB0021524,1,2015-08-05 04:30:33
55413,deny,Card number is restricted,approved,CB0021524,1,2015-08-05 04:30:36
55415,deny,Customer phone is restricted,approved,CB0021525,1,2015-08-05 04:30:44
55417,deny,Email address is restricted,approved,CB0021526,1,2015-08-05 04:32:01
55419,deny,Card number is restricted,approved,CB0021527,1,2015-08-05 04:32:09
55421,deny,Card number is restricted,approved,CB0021528,1,2015-08-05 04:32:17
55423,deny,Card number is restricted,approved,CB0021529,1,2015-08-05 04:32:24
55425,deny,Card number is restricted,approved,CB0021530,1,2015-08-05 04:32:33
55427,deny,Card number is restricted,approved,CB0021531,1,2015-08-05 04:32:40
55429,deny,Card number is restricted,approved,CB0021532,1,2015-08-05 04:32:48
55431,deny,Email address is restricted,approved,CB0021533,1,2015-08-05 04:33:10
55433,deny,Card number is restricted,approved,CB0021534,1,2015-08-05 04:33:18
55435,deny,Card number is restricted,approved,CB0021535,1,2015-08-05 04:33:26
55437,deny,Card number is restricted,approved,CB0021536,1,2015-08-05 04:33:33
55439,deny,Customer phone is restricted,approved,CB0021537,1,2015-08-05 04:33:41
55441,deny,Customer phone is restricted,approved,CB0021538,1,2015-08-05 04:33:48
55443,deny,Customer phone is restricted,approved,CB0021539,1,2015-08-05 04:33:56
55445,deny,Customer phone is restricted,approved,CB0021540,1,2015-08-05 04:34:04
55447,deny,Customer phone is restricted,approved,CB0021541,1,2015-08-05 04:34:13
55449,deny,Email address is restricted,approved,CB0021542,1,2015-08-05 04:34:50
55451,deny,Card number is restricted,approved,CB0021543,1,2015-08-05 04:34:57
55453,deny,Card number is restricted,approved,CB0021544,1,2015-08-05 04:35:05
55455,deny,Card number is restricted,approved,CB0021545,1,2015-08-05 04:35:12
55457,deny,Card number is restricted,approved,CB0021546,1,2015-08-05 04:35:20
55459,deny,Card number is restricted,approved,CB0021547,1,2015-08-05 04:35:28
55461,deny,Card number is restricted,approved,CB0021548,1,2015-08-05 04:35:35
55463,deny,Card number is restricted,approved,CB0021549,1,2015-08-05 04:35:43
55465,deny,Customer phone is restricted,approved,CB0021550,1,2015-08-05 04:35:51
55467,deny,Customer phone is restricted,approved,CB0021551,1,2015-08-05 04:35:59
55469,deny,Email address is restricted,approved,CB0021552,1,2015-08-05 04:37:17
55471,deny,Card number is restricted,approved,CB0021553,1,2015-08-05 04:37:25
55473,deny,Card number is restricted,approved,CB0021554,1,2015-08-05 04:37:32
55475,deny,Customer phone is restricted,approved,CB0021555,1,2015-08-05 04:37:40
55477,deny,Customer phone is restricted,approved,CB0021556,1,2015-08-05 04:37:48
55479,deny,Customer phone is restricted,approved,CB0021557,1,2015-08-05 04:37:55
55481,deny,Customer phone is restricted,approved,CB0021558,1,2015-08-05 04:38:03
55483,deny,Customer phone is restricted,approved,CB0021559,1,2015-08-05 04:38:11
55485,deny,Customer phone is restricted,approved,CB0021560,1,2015-08-05 04:38:18
55487,deny,Customer phone is restricted,approved,CB0021561,1,2015-08-05 04:38:26
55489,deny,Email address is restricted,approved,CB0021562,1,2015-08-05 06:10:14
55491,deny,Card number is restricted,approved,CB0021563,1,2015-08-05 06:10:21
55493,deny,Customer phone is restricted,approved,CB0021564,1,2015-08-05 06:10:29
55497,deny,Email address is restricted,approved,CB0021565,1,2015-08-05 06:35:37
55499,deny,Card number is restricted,approved,CB0021566,1,2015-08-05 06:35:44
55501,deny,Card number is restricted,approved,CB0021567,1,2015-08-05 06:35:52
55503,deny,Card number is restricted,approved,CB0021568,1,2015-08-05 06:35:59
55505,deny,Card number is restricted,approved,CB0021569,1,2015-08-05 06:36:07
55507,deny,Card number is restricted,approved,CB0021570,1,2015-08-05 06:36:15
55509,deny,Customer phone is restricted,approved,CB0021571,1,2015-08-05 06:36:23
55511,deny,Card number is restricted,approved,CB0021572,1,2015-08-05 07:23:29
55513,deny,Customer phone is restricted,approved,CB0021573,1,2015-08-05 07:23:36
55515,deny,Customer phone is restricted,approved,CB0021574,1,2015-08-05 07:23:43
55517,deny,Customer phone is restricted,approved,CB0021575,1,2015-08-05 07:23:51
55519,deny,Email address is restricted,approved,CB0021576,1,2015-08-05 07:25:06
55521,deny,Customer phone is restricted,approved,CB0021577,1,2015-08-05 07:25:13
55523,deny,Customer phone is restricted,approved,CB0021578,1,2015-08-05 07:25:21
55529,deny,Card number is restricted,approved,CB0021579,1,2015-08-05 08:20:38
55531,deny,Card number is restricted,approved,CB0021580,1,2015-08-05 08:20:45
55533,deny,Email address is restricted,approved,CB0021580,1,2015-08-05 08:20:50
55535,deny,Card number is restricted,approved,CB0021581,1,2015-08-05 08:20:56
55537,deny,Card number is restricted,approved,CB0021581,1,2015-08-05 08:21:07
55539,deny,Card number is restricted,approved,CB0021582,1,2015-08-05 08:21:10
55541,deny,Card number is restricted,approved,CB0021582,1,2015-08-05 08:21:22
55543,deny,Card number is restricted,approved,CB0021583,1,2015-08-05 08:21:25
55545,deny,Card number is restricted,approved,CB0021583,1,2015-08-05 08:21:37
55547,deny,Card number is restricted,approved,CB0021584,1,2015-08-05 08:21:41
55549,deny,Card number is restricted,approved,CB0021584,1,2015-08-05 08:21:53
55551,deny,Card number is restricted,approved,CB0021585,1,2015-08-05 08:21:55
55555,deny,Card number is restricted,approved,CB0021585,1,2015-08-05 08:22:10
55553,deny,Card number is restricted,approved,CB0021586,1,2015-08-05 08:22:10
